,GOTO_B,GOTO_B_noatm,GOTO_G,GOTO_G_noatm,GOTO_L,GOTO_L_noatm,GOTO_R,GOTO_R_noatm,atm,atmosphere,corrector,filter_B,filter_C,filter_G,filter_L,filter_R,lens1,lens2,lens3,lens_coating,mirror,ota,qe,window
623,0.0005941033089038,0.0006553014369181,0.0022190354999427,0.0024476166516689,0.4090302647226461,0.4511641598331889,0.3967359906815029,0.4376034620146731,0.9066107220792512,-2.871075985009022,0.9182101968067125,0.0014330522342499,0.9930686951,0.005352593957,0.986632671375,0.95697732925,0.9645886482052,0.9850899637201744,0.9950863,0.9968,0.9636672322503883,0.8371198684314443,0.54625,0.9817284000000001
624,0.0005733248525264,0.0006322565611319,0.0021919065335307,0.002417211256595,0.4075411510838158,0.4494320550879715,0.3951914330895951,0.4358129171846239,0.906791463737592,-2.869853889255087,0.9182101512441416,0.001386688389,0.9928573608,0.005301516804,0.985710945125,0.95584095,0.9645886220976,0.9850899526108107,0.9950464,0.9968,0.9635002055569768,0.8366001987873887,0.545,0.9814592
625,0.0005554499895524,0.0006124568613223,0.0021988390459283,0.0024245100116167,0.4058603936917205,0.4475146053306568,0.3934108669011283,0.4337873603103478,0.906921000694136,-2.8686317935011516,0.9176575495938732,0.00134799860375,0.9928585052,0.00533627152675,0.98496580125,0.95475255965,0.96458859599,0.9850899415014469,0.9950065,0.9967,0.9633331788635653,0.8355776059238543,0.5437500000000001,0.98119
626,0.000547121969831,0.0006031869785743,0.0022339943899012,0.0024629175951619,0.4045284191379886,0.445981496525603,0.3923534292595349,0.4325589038243355,0.9070520241073844,-2.8674096977472163,0.9176575040587236,0.00133111104375,0.9931217194,0.005435158462,0.98419050215,0.95456956865,0.9645885698823999,0.9850899303920833,0.9949666,0.9967,0.9631661521701537,0.8352912429914937,0.5425,0.981194
627,0.0005413285842606,0.0005968177210956,0.0022996500953062,0.0025353767916624,0.4030680464426657,0.4443847229181717,0.391197351670746,0.431297217089758,0.9070249845579998,-2.866187601993281,0.9176574585235752,0.001320549734,0.9931325531,0.00560990572075,0.9832686043,0.954310512525,0.9645885437748,0.9850899192827195,0.9949267,0.9967,0.9629991254767422,0.8350049279640746,0.54125,0.981198
628,0.0005301288239553,0.0005986778652055,0.0022968993516874,0.0025939031011377,0.3922014960389353,0.4429156532691902,0.3811892241783232,0.4304794243552732,0.8854992889595789,-2.8649655062393458,0.9176574129884284,0.00132818728675,0.9929445648,0.00575466260275,0.982623500825,0.955033302325,0.9645885176672,0.9850899081733558,0.9948868000000001,0.9967,0.9628320987833306,0.8347186608422041,0.54,0.981202
629,0.0005431360322567,0.0006038704449099,0.0023708484097206,0.0026359607887608,0.3970900795587678,0.441493380610594,0.3866541094530635,0.4298904422369179,0.8994247637633536,-2.8637434104854105,0.9176573674532827,0.00134312920275,0.9932418823,0.00586290642725,0.981969985975,0.9561627197,0.9645884915595999,0.9850898970639921,0.9948469,0.9967,0.9627177393484758,0.834523747466079,0.5387500000000001,0.981206
630,0.0005535139360121,0.0006161105725597,0.0023461221272236,0.00261144399997,0.3948275694454638,0.4394784377534683,0.3855715401676291,0.4291756483800301,0.8984003207614659,-2.862521314731475,0.9171050430907264,0.0013745490835,0.9924871826,0.0058261586745,0.98048095705,0.957495327,0.9645884654519999,0.9850898859546283,0.994807,0.9966,0.9626522860123208,0.8339114563297476,0.5375000000000001,0.98121
631,0.0005776985453254,0.0006382971760619,0.0022643376334769,0.0025018590211006,0.3967054296695591,0.43831849246543,0.3882391398659475,0.4289641173902375,0.9050620416177104,-2.86129921897754,0.9171049975829884,0.0014275554567499,0.9929034424,0.00559542268325,0.9803019333,0.959380817425,0.9645884393444,0.9850898748452647,0.9947671,0.9966,0.9625868326761657,0.8338014180744613,0.53625,0.981214
632,0.0006054210863152,0.0006669932982301,0.0021002021189117,0.0023137957529172,0.396504851089841,0.436829975649265,0.3895299658130837,0.4291457343159555,0.9076869106807784,-2.8600771232236046,0.9171049520752514,0.0014954172075,0.9933468628,0.00518759332775,0.97938474655,0.962156467425,0.9645884132368,0.9850898637359009,0.9947272,0.9966,0.9625213793400107,0.8336913866159741,0.535,0.981218
